Global_ID,Alias_Global_IDs,City_ID,Entity_Type,RestaurantID,Source_IDs,Restaurant Name,District,District_Raw,Admin_Normalization_Status,Address_Raw,Address_Current,Category,Category_Normalized,Lat,Lon,Overall Rating,Rating_Scale,Rating_Count,Review_Sample_Count,Google_Rating,Google_Rating_Count,Foody_Rating_10,Foody_Review_Sample_Count,Primary_Rating_Source,Price,Price_Min_VND,Price_Max_VND,Opening_Hours_Raw,Image_URL,LLM_Input_Text,Source,Merge_Status,Data_Quality_Flags
google_maps_0,,da-nang,poi,0x3142219fc2970a4b:0x5809091a288f4c01,google_maps:0x3142219fc2970a4b:0x5809091a288f4c01,quán cây Gòn,Hai_Van,Hai_Van,pending_spatial_join,,,Nhà hàng gia đình,restaurant,16.1293587,108.0507529,4.8,5,5,,4.8,5,,,google_maps,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AHVAwepxS4EZVl_SK_OLabsVFM00Lwm-BnKdQoC90YtjWxCif7OTVyzbpAlTQMgzQxeqF0nHH0wat_saitgEQ1S-QoE44Lhj_JtWCDGb8uC57HDTkur2u41JPzS2ZRlg18Sw2KAgiCBUqvSOlrTN=w408-h544-k-no,https://lh3.googleusercontent.com/geougc-cs/ABOP9pvorJYhGaXUl8lcT3RkMAbVj2D5a8cDnIIgVPZ3motLqw2INx701ISMElymyvLTVK1Pe2RB4MpXh34I8ES5sitOnka5Y04zUSiTeg7SufTFr5BazDTB1zFNVUldZjVp_A9_YOzrpxyQM-ED=w600-h450-p",Tên địa điểm: quán cây Gòn. Danh mục nguồn: Nhà hàng gia đình. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 4.8/5 (5 lượt đánh giá). Bình luận mẫu: Ngon ạ,google_maps,single_source,admin_pending_spatial_join
google_maps_1,,da-nang,poi,0x31421f0046196c8f:0x1731a06fb3123243,google_maps:0x31421f0046196c8f:0x1731a06fb3123243,"Suối Hopyen, Tín thác -HOPYEN CAMPS LE QUANG ANH - HYC",Hoa_Vang,Hoa_Vang,pending_spatial_join,,,Nhà hàng,restaurant,15.991191,108.137064,5,5,1,,5,1,,,google_maps,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqm3x91td89vpXr7gZXi5B8NNPhE4Rs9_wKSUUy7_2r1iq_3c51891ag6VhaRwS5Uca7QlgO5Hocs_6wlFG25qS1NdEDFlYQj_tqbfIXdrDjZTrDlV7bUP98EKtsD9_v5XIIKLV58Pi0q8=w519-h240-k-no,"Tên địa điểm: Suối Hopyen, Tín thác -HOPYEN CAMPS LE QUANG ANH - HYC. Danh mục nguồn: Nhà hàng. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 5.0/5 (1 lượt đánh giá). Bình luận mẫu: Suối Hopyen mang đến một không gian thiên nhiên tuyệt vời để thoát khỏi sự ồn ào của thành phố. Khung cảnh hùng vĩ với dòng suối trong veo, cây cối xanh mát và không khí trong lành thực sự là liều thuốc tinh thần hiệu quả. Đây là điểm đến …",google_maps,single_source,admin_pending_spatial_join
google_maps_2,,da-nang,poi,0x3142210012d32d71:0x3616fcaf748a44a2,google_maps:0x3142210012d32d71:0x3616fcaf748a44a2,Mỳ quảng Nhân,Hai_Van,Hai_Van,pending_spatial_join,,,Nhà hàng Việt Nam,restaurant,16.1293587,108.0507529,5,5,1,,5,1,,,google_maps,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweplUKQ1wVOUqhOi_LrM9ncEQAfB9BnoQ2M2uITThl_VeO3yJSXVPKM1HI1Y-GPWNKg85FeFm3em9BwFhPS-qKyuwwGkHqLizksSqqhAKlyEj4MhP3UsyBBfX1HJ7eQ5FGT3Yn7Zg2g-j0x3=w408-h725-k-no,"Tên địa điểm: Mỳ quảng Nhân. Danh mục nguồn: Nhà hàng Việt Nam. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 5.0/5 (1 lượt đánh giá). Bình luận mẫu: Mỳ quảng Nhân mang đến một trải nghiệm ẩm thực đúng chất miền Trung với hương vị mỳ Quảng truyền thống khó quên. Tô mỳ đầy đặn, sợi mỳ dai ngon, nước dùng đậm đà, thơm lừng mùi nghệ và các nguyên liệu tươi ngon như tôm, thịt, trứng cút. …",google_maps,single_source,admin_pending_spatial_join
google_maps_3,,da-nang,poi,0x3142215f0aa963a9:0x63e08a9afbbc6342,google_maps:0x3142215f0aa963a9:0x63e08a9afbbc6342,Góc Hồ Quán,Hai_Van,Hai_Van,pending_spatial_join,,,Nhà hàng,restaurant,16.1293587,108.0507529,4,5,4,,4,4,,,google_maps,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AHVAweoMZEYsvoAu_LxheEXPEXRqNcVdskpYYPyy4ulufAlkQ5ooIcyyDwyU1KywpK-sGuIcd_AJ0RS3XdqIE4WC39MZXV7D8CF4du3qWURU9F5dKPQgPGz_CeBCEBpVt3bNnbaHu0GzWKtVVQ_4=w408-h544-k-no,https://lh3.googleusercontent.com/geougc-cs/ABOP9pt5k_qeNXPRVa_KW22iXqYMkwZVt9hTGx3c07mlEQBQa-l3LnhPrX1AGMqxb-80eI_4MTNU5ORgeIia8F4994roQL79F_ZOZSxK6WUkCTkRKdlHCXjF0k5v04DhewIwlSgVpE0UUw=w600-h450-p","Tên địa điểm: Góc Hồ Quán. Danh mục nguồn: Nhà hàng. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 4.0/5 (4 lượt đánh giá). Bình luận mẫu: Góc Hồ Quán tọa lạc tại Hòa Bắc, một khu vực mang vẻ đẹp hoang sơ và yên bình của Đà Nẵng, rất lý tưởng để thoát khỏi sự hối hả của thành phố. Không khí trong lành và cảnh quan thiên nhiên tươi đẹp xung quanh quán là điểm cộng lớn, tạo nên … | Nơi đây mát mẻ, sát bìa rừng, hồ cá tự nhiên vệ sinh sạch sẽ | Cô hàng xóm nói chủ quán đã dẹp đi Hàn Quốc rồi 🤣 …",google_maps,single_source,admin_pending_spatial_join
google_maps_4,,da-nang,poi,0x314221002c897edb:0xf7e7f99811e72565,google_maps:0x314221002c897edb:0xf7e7f99811e72565,Quán nhậu Góc vườn,Hoa_Vang,Hoa_Vang,pending_spatial_join,,,Nhà hàng thịt gà,restaurant,15.991191,108.137064,5,5,5,,5,5,,,google_maps,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AHVAwerwRJBzLFnhG-u1bJnv01kyPwzJCWdimSZTa7znLuURD6VItvJt4KmhgCeMCwXUH15aPHCTkn0qEtPojNxkN3BQAvrj2PX_EOSYhhMOlT5LTQtVueDxwGI1zHS_T8rEOtYwMgubWyZFLqI=w408-h306-k-no,https://lh3.googleusercontent.com/geougc-cs/ABOP9puj74Clk4aslA-_utXomo5zdDnCWiZ4zEoHWpky2IGCVZAFULJ5MKP9VhYNzr8teCgqn7_PvRgTZQ472qLzvFpif2Kgw4hASPoABBihOvdqWJRH9IaxRjrYJWXb6xXMGOlA55gX0fGk-6M=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9psb5IPYM94KJEO0DUoHIFqY_GhTw8rWqETYLxE2vWqMV5-dfJpXdL494oWjATMpXJIVsZmc2F-17NJ03kUCGbNzVxMjrAnOWTCdRhlS3fooypu6kS42B418CJc8jI4VZl7g5Ry5l4XhhWu6=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9psC0suxpHX8hFNAENqEHAJEKSO7Vy0sQVP636wuEKTtCRyrZYILn8Tki2kTHaBvLWUdcn0xMiJ4FbqM-WzN2brcjJdoxO9TFuDDqZG2bFXw46nrZdVP4VwMc6zTroh33YZcbLiTNDd0eKuW=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9pusTOYXhy1eJaSX5iZ1VM80XHI66v7sqLrURFghmCKzvpgR3gDUuCEgnawhI4is_AxjkR8QXXgg577VBM2aDEu3bikx8qO1UDzVdVLuAWxFviC96bjGlVgO0x-KBOIT4Df7AjFsLn7YhenN=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9pvAdzuWCeh0jJ7uIYVnMqhvNWlMllGalYAW7RzGOLGEx0YvLNC7VcpzTC4ipDVzferSzP5SLTMchg3OtXVuB3FPKX7uTZSbDbkNoxx0FtDcHditFejv-F66m0Xhk0UVbjKOPQ2Ung=w600-h450-p","Tên địa điểm: Quán nhậu Góc vườn. Danh mục nguồn: Nhà hàng thịt gà. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 5.0/5 (5 lượt đánh giá). Bình luận mẫu: Đồ ăn ngon, quán view thoáng, cô chú siêu thân thiện | Đồ ăn rất ngon và sạch sẽ | Nhóm mình đi camping gần quán rồi đặt đồ ăn ở quán. Thịt gà hấp siêu ngon, thêm mốn tai mui trộn cũng xuất sắc.",google_maps,single_source,admin_pending_spatial_join
google_maps_6,,da-nang,poi,0x31421f00583360ab:0x4a0830b72f4df890,google_maps:0x31421f00583360ab:0x4a0830b72f4df890,Quán cháo chờ mỳ quảng ven đường,Hoa_Vang,Hoa_Vang,pending_spatial_join,,,Nhà hàng châu Á,restaurant,16.07028660071,108.104774345568,,,0,,,0,,,,,,,,,Tên địa điểm: Quán cháo chờ mỳ quảng ven đường. Danh mục nguồn: Nhà hàng châu Á. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Chưa có. Bình luận mẫu: Không có bình luận,google_maps,single_source,admin_pending_spatial_join|missing_image|rating_unavailable
google_maps_7,,da-nang,poi,0x31421ff641c3560d:0xc79f1529df82a790,google_maps:0x31421ff641c3560d:0xc79f1529df82a790,Quán Dê LIÊM HƯỜNG,Lien_Chieu,Lien_Chieu,pending_spatial_join,,,Nhà hàng,restaurant,16.096387,108.09587,,,0,,,0,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwersv7SrysnS1BeUUWBWTOND5yR-9Q6S8-l9-6tskTBs8_gVPIN2Ozshn1W4735iC4LHPkbtOUjdXe9nOzNZr8brkOILgONn30vks_vjVIj5fKvi1hE8ZibjYW9q2_lXt29hYrko=w408-h306-k-no,Tên địa điểm: Quán Dê LIÊM HƯỜNG. Danh mục nguồn: Nhà hàng. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Chưa có. Bình luận mẫu: Không có bình luận,google_maps,single_source,admin_pending_spatial_join|rating_unavailable
google_maps_10,google_maps_3646|google_maps_4868,da-nang,poi,0x3142191794901e93:0xf1e7fd1f7ad72f86,google_maps:0x3142191794901e93:0xf1e7fd1f7ad72f86,Đà Nẵng Phố,Hòa_Khánh,Hòa_Khánh,pending_spatial_join,,,Nhà hàng,restaurant,16.0479862,108.1303577,4.8,5,20,,4.8,20,,,google_maps,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AHVAweqygNpDuUbRnLHqZKLW_C4VNo8WpP7AkGAo6WuuwPhRTKruK3O2LyBvOzAcIIKL5MxM3F1JEiyQbv-qFVwyxbS0MYLuK1TvzWFOriy0bsOGOrjAKAlZzrxDOvDsTWP-O7BAoIho5g=w408-h725-k-no,https://lh3.googleusercontent.com/geougc-cs/ABOP9psQlD4ETfXQqXdityRwf7x_haiP-5ByaH1E95kOlLrcR_1Csx_-u6ZDJ8wm8Uuy1qZFRCp6V7IX9SzALzeBo75Pt1KUWBcJUYDVDPfv9vE44zlNhf9hIz7PIH_j4xUk05tDE7rZFw=w600-h450-p",Tên địa điểm: Đà Nẵng Phố. Danh mục nguồn: Nhà hàng. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 4.8/5 (20 lượt đánh giá). Bình luận mẫu: Bê thui long dzuong1 tại 68 b hoàng văn thái đn nhìu món ăn nói về bê thui hấp dẫn nhất thời nay | Chổ này bình thường | Quá tốt,google_maps,same_source_deduplicated,admin_pending_spatial_join|same_source_duplicates_merged
google_maps_11,,da-nang,poi,0x314221007e370bc5:0x2e0f423aaf84c31f,google_maps:0x314221007e370bc5:0x2e0f423aaf84c31f,Hội Yên Farmstay (HYFS),Hai_Van,Hai_Van,pending_spatial_join,,,Nhà hàng,restaurant,16.1293587,108.0507529,4.8,5,4,,4.8,4,,,google_maps,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKMBRqzdvU88nP48RSY9wZJKq4O3znI_aDpeA9mMcZ_46JuCO2YivWv66OqmjizC1uy_W2g6sMiMzYyqOQg8QoX5FQ1HmWr5ZGRElr97d9ZhRFcVTX1NNAmL9w8oq8jO4m7ufeXrIGqfsZ=w408-h306-k-no,https://lh3.googleusercontent.com/geougc-cs/ABOP9ps3tQ5M5gHuqA-xLgJspFhYlzK6Pu2Yd-bMK9X4q51MogyZHTPvDaTjgNIQAPa1yB4yijtvtqcLM3p0QchA_qQ71wOsPc2QL-NagOOs-iNZ-AuyFMk6aeS2edkWZi6FcGd1w2O_dtwRsQcd=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9pusbEHSGNp1Odd6XHUxBwOjnL3gCkuysHaBnWuLlfYBqu9IXeC6SlX7vBii0kKYOZAOOKjr4n5TpGxws-ZY1j7_K7XSnJdY0iNgPcEq_tvM2Exx4Jto7Tc-9VlAzAT6r1PicmpkVubw8DQ=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9ptQUAUmCQzNqm9sTC4lO3035J3iADOBIpSqlJleL6t4ewoNMucuSEKuPfZcpaOkP1UReUu2xIbNQd4Cm78ntYZ82yviLYzdtzSmayD6Xcr4NhDqFAEGFyatoT36QHeYO_oCzgd-gebxpvwz=w300-h225-p,https://lh3.googleusercontent.com/geougc-cs/ABOP9ptHnhFKLgAvuGQuGnqdSLkHCjY4GbTrNxZ9srQIWFvqdsgS04JZKYxX2a84gGVt9CH2YI6vElvd6sZuDnClu4xODQD-XyLDG7PhfEXamskCvcaMDGnZxE6AP39bqukD6TalSkhiadkmsBQ=w300-h225-p","Tên địa điểm: Hội Yên Farmstay (HYFS). Danh mục nguồn: Nhà hàng. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 4.8/5 (4 lượt đánh giá). Bình luận mẫu: Trải nghiệm tuyệt vời khi đến đây là không khí trong lành, không gian ấm cúng và gần gũi với thiên nhiên.",google_maps,single_source,admin_pending_spatial_join
google_maps_12,,da-nang,poi,0x31421f16861df11d:0xa96ad1869de82457,google_maps:0x31421f16861df11d:0xa96ad1869de82457,Trung Tâm Tiệc Cưới Trọng Phú Gia,Lien_Chieu,Lien_Chieu,pending_spatial_join,,,Nhà hàng,restaurant,16.0875216,108.0943175,4.6,5,20,,4.6,20,,,google_maps,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepH_FvGa_Su8wkaQpd5i8CKGbFQLrMymVRFYJFJKdDSuOmNoK3KQ9gxhsXs7QaIfhuMur1Ao4NKfnb99vPRQX4sjLStuTjifm7sVkovEEkRXNTKBHCMOHA38IIRVG8_gCyM5KbpLg=w508-h240-k-no,Tên địa điểm: Trung Tâm Tiệc Cưới Trọng Phú Gia. Danh mục nguồn: Nhà hàng. Mức giá: Chưa cập nhật. Đánh giá theo nguồn: Google Maps: 4.6/5 (20 lượt đánh giá). Bình luận mẫu: Trung tâm tiệc cưới mà nằm trong khu dân cư. Rất ồn ào. Xung quanh không có bóng mát. | tuyet voi | Dịch vụ rất ok,google_maps,single_source,admin_pending_spatial_join
