queueId,priority,priorityReason,decision,recommendedAction,source,sourceId,relatedSourceId,name,category,categoryEligibility,newTier,latitude,longitude,canonicalId,canonicalName,evidence,reviewerDecision,reviewerNotes
DUPLICATE:osm:node:12402104801:overture:497415af-bdcc-4ff9-9ca1-848e814c26aa,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,cross_source,osm:node:12402104801,overture:497415af-bdcc-4ff9-9ca1-848e814c26aa,Nhà hàng Nhật Miyoshi,restaurant,TRAVELER_RELEVANT,,16.0693093,108.2364723,,,"{""confidence"":1,""distanceMeters"":2.49,""reasonCodes"":[""near_duplicate_name_category_and_location""]}",,
DUPLICATE:osm:node:4378701501:overture:c831509b-7fe3-423f-9292-3fc32e7aef7b,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,cross_source,osm:node:4378701501,overture:c831509b-7fe3-423f-9292-3fc32e7aef7b,quan pho hong,restaurant,TRAVELER_RELEVANT,,16.0775502,108.2217728,,,"{""confidence"":1,""distanceMeters"":6.09,""reasonCodes"":[""near_duplicate_name_category_and_location""]}",,
DUPLICATE:osm:node:729406392:overture:1b27afcb-daa1-4977-bcd5-cc5327c08c64,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,cross_source,osm:node:729406392,overture:1b27afcb-daa1-4977-bcd5-cc5327c08c64,Ca Phe 83,cafe,TRAVELER_RELEVANT,,16.0785765,108.2193388,,,"{""confidence"":1,""distanceMeters"":3.25,""reasonCodes"":[""near_duplicate_name_category_and_location""]}",,
DUPLICATE:overture:04e58b32-e311-469b-8cf4-ba31f43515f1:overture:a1d192c7-cd45-4b2c-84bf-b57c599fc54e,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,overture,overture:04e58b32-e311-469b-8cf4-ba31f43515f1,overture:a1d192c7-cd45-4b2c-84bf-b57c599fc54e,Ánh Dương Mart | Da Nang,convenience,TRAVELER_RELEVANT,,16.09847911,108.13478291,,,"{""confidence"":0.98,""distanceMeters"":4.05,""reasonCodes"":[""same_phone""]}",,
DUPLICATE:overture:04ec8116-b6a2-4bca-9c25-a94812b846a8:overture:5df61993-707a-4650-a38d-ccd054fcd904,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,overture,overture:04ec8116-b6a2-4bca-9c25-a94812b846a8,overture:5df61993-707a-4650-a38d-ccd054fcd904,Hệ thống thủy lực tàu thuyền,boat,EXCLUDED,,16.05175,108.17767,,,"{""confidence"":0.98,""distanceMeters"":0,""reasonCodes"":[""same_phone""]}",,
DUPLICATE:overture:15557e0f-2e87-42b5-a494-0173090c34ab:overture:e2702b75-fa9f-4a79-bc1f-feefa646d219,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,overture,overture:15557e0f-2e87-42b5-a494-0173090c34ab,overture:e2702b75-fa9f-4a79-bc1f-feefa646d219,Nội thất-phụ kiện ôtô giá rẽ Đà Nẵng,automotive,LOW_VALUE,,16.061364682159148,108.17141033603932,,,"{""confidence"":0.98,""distanceMeters"":47.6,""reasonCodes"":[""same_phone""]}",,
DUPLICATE:overture:22206b08-c071-4415-824e-ef3e9d62830c:overture:62275dbd-8d7d-4403-82d2-b129ca98561e,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,overture,overture:22206b08-c071-4415-824e-ef3e9d62830c,overture:62275dbd-8d7d-4403-82d2-b129ca98561e,LQDOJ,unknown,EXCLUDED,,16.0554002,108.2369901,,,"{""confidence"":0.98,""distanceMeters"":0,""reasonCodes"":[""same_phone""]}",,
DUPLICATE:overture:2d2326d2-9a5b-4774-8bd7-beecfcaf69bb:overture:66fba591-f6b1-4334-8b9e-ffda87b4c614,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,overture,overture:2d2326d2-9a5b-4774-8bd7-beecfcaf69bb,overture:66fba591-f6b1-4334-8b9e-ffda87b4c614,Green House Digital Marketing,web,EXCLUDED,,16.00484,108.22419,,,"{""confidence"":0.98,""distanceMeters"":1.04,""reasonCodes"":[""same_phone""]}",,
DUPLICATE:overture:2d2f0bcb-7920-41fe-9c92-371dbeeed89f:wikidata:Q111862533,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,cross_source,overture:2d2f0bcb-7920-41fe-9c92-371dbeeed89f,wikidata:Q111862533,Halina Hotel and Apartment,accommodation,TRAVELER_RELEVANT,,16.05367335,108.2463168,,,"{""confidence"":1,""distanceMeters"":17.54,""reasonCodes"":[""near_duplicate_name_category_and_location""]}",,
DUPLICATE:overture:32d043cb-2aee-45c6-82a7-ca9ad4a3bb12:overture:c07e5a6c-90b1-4d59-8a0b-7f48d6e4712e,P3,source_duplicate_resolution,SOURCE_DUPLICATE,MERGE_SOURCE_DUPLICATE,overture,overture:32d043cb-2aee-45c6-82a7-ca9ad4a3bb12,overture:c07e5a6c-90b1-4d59-8a0b-7f48d6e4712e,Công ty TNHH H&H - Động cơ điện Đà Nẵng,professional,LOW_VALUE,,16.05875,108.18018,,,"{""confidence"":0.98,""distanceMeters"":14.39,""reasonCodes"":[""same_phone""]}",,
