caseId,stratum,machineDecision,machineConfidence,evidenceStatus,evidenceLabel,evidenceType,evidence,reviewer,source,sourceId,sourceName,sourceCategory,candidateId,candidateName,candidateCategory,distanceMeters,humanLabel,humanReviewer,humanEvidenceReference,humanNotes
DUPLICATE:osm:node:10292550606:overture:25ca5061-2887-48c0-9d7b-ce06fecefc82,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:10292550606,Coffee Nano,cafe,overture:25ca5061-2887-48c0-9d7b-ce06fecefc82,NANO coffee,cafe,6.44,,,,
DUPLICATE:osm:node:12002534969:overture:6c6ff61a-8a74-4912-bee2-93049a9276bb,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84932587890""]",STAGE4I_STRUCTURED_EVIDENCE_V1,osm,osm:node:12002534969,GỐM Garden Coffee,cafe,overture:6c6ff61a-8a74-4912-bee2-93049a9276bb,Gốm Garden Cafe and Bánh,cafe,16.1,,,,
DUPLICATE:osm:node:12165826954:overture:569db4d7-321f-422b-b286-b9a6e7e58f61,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:12165826954,Highlands Coffee,cafe,overture:569db4d7-321f-422b-b286-b9a6e7e58f61,Highlands Coffee,cafe,31.28,,,,
DUPLICATE:osm:node:12169743837:overture:38d5545f-e15c-4875-89c5-92a5c1f9c711,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:12169743837,Pizza House,restaurant,overture:38d5545f-e15c-4875-89c5-92a5c1f9c711,Pizza House,restaurant,12.47,,,,
DUPLICATE:osm:node:12422104201:overture:0970883a-bd42-4120-8c0e-1106a6711309,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:12422104201,Hủ Tiếu Kỳ Kỳ,restaurant,overture:0970883a-bd42-4120-8c0e-1106a6711309,Hủ Tiếu Kỳ Kỳ,restaurant,8.46,,,,
DUPLICATE:osm:node:12912346694:overture:b6ffb42b-2c95-45d6-9472-56fc29b1ad09,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84905008184""]",STAGE4I_STRUCTURED_EVIDENCE_V1,osm,osm:node:12912346694,Shala Nhà Chay,restaurant,overture:b6ffb42b-2c95-45d6-9472-56fc29b1ad09,Shala Vegan House,restaurant,32.01,,,,
DUPLICATE:osm:node:13421486901:overture:99cac397-6ba0-4d69-aca9-b3db5a402e89,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:13421486901,Highlands Coffee,cafe,overture:99cac397-6ba0-4d69-aca9-b3db5a402e89,Highlands Coffee,cafe,6.82,,,,
DUPLICATE:osm:node:13724829101:overture:82b2cab7-bd18-4c7b-abca-33620dee7f1f,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:13724829101,Totoro Nướng & Sushi,restaurant,overture:82b2cab7-bd18-4c7b-abca-33620dee7f1f,Totoro Nướng & Sushi,restaurant,2.6,,,,
DUPLICATE:osm:node:4352266389:overture:64519d75-debb-442e-a689-f5d2f5927a54,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:4352266389,Burger Bros,restaurant,overture:64519d75-debb-442e-a689-f5d2f5927a54,Burger Bros,restaurant,21.35,,,,
DUPLICATE:osm:node:4612193833:wikidata:Q111862543,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:4612193833,Sea Phoenix Hotel,accommodation,wikidata:Q111862543,Sea Phoenix Hotel Da Nang,accommodation,34.8,,,,
DUPLICATE:osm:node:5273998823:wikidata:Q7833322,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:5273998823,Cầu Trần Thị Lý,attraction,wikidata:Q7833322,Cầu Trần Thị Lý,bridge,12.89,,,,
DUPLICATE:osm:node:6109480851:overture:5e49dcd9-56bf-4634-9396-c6e66f894694,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:6109480851,Issun Boshi,restaurant,overture:5e49dcd9-56bf-4634-9396-c6e66f894694,Issun Boshi,restaurant,7.29,,,,
DUPLICATE:osm:node:6152597685:overture:273a1e68-3d7f-453a-bd69-62376dfc9bd3,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:6152597685,Bánh mì chấm Pate,restaurant,overture:273a1e68-3d7f-453a-bd69-62376dfc9bd3,Bánh Mì Chấm Pate,restaurant,47.53,,,,
DUPLICATE:osm:node:6643623494:overture:4b4cf153-a19a-4cbe-9598-89d96797bce0,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:node:6643623494,D&C Hotel,accommodation,overture:4b4cf153-a19a-4cbe-9598-89d96797bce0,D&C Danang Hotel,accommodation,13.23,,,,
DUPLICATE:osm:way:1076716240:overture:c0597495-d93f-4f31-968a-2274545b7405,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:way:1076716240,Trường Tiểu học Lê Bá Trinh,market,overture:c0597495-d93f-4f31-968a-2274545b7405,Truong tieu hoc Le Ba Trinh,market,4.99,,,,
DUPLICATE:osm:way:372316060:overture:ff168284-267a-4ffd-8295-48964e3f1a8e,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:way:372316060,Bệnh viện Phổi Đà Nẵng,hospital,overture:ff168284-267a-4ffd-8295-48964e3f1a8e,Bệnh viện Phổi Đà Nẵng,hospital,43.63,,,,
DUPLICATE:osm:way:693441028:overture:4eb36e6f-d99d-4f8c-b144-ee03246be1cd,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:way:693441028,Đình Mỹ Khê,place_of_worship,overture:4eb36e6f-d99d-4f8c-b144-ee03246be1cd,Đình Mỹ Khê,place_of_worship,42.45,,,,
DUPLICATE:osm:way:694479601:overture:e12d6734-0917-4452-8f09-b6a0fa1ae93b,SOURCE_DUPLICATE,SOURCE_DUPLICATE,1,MACHINE_SUGGESTED,UNCERTAIN,INSUFFICIENT_INDEPENDENT_EVIDENCE,[],PENDING_HUMAN_REVIEW,osm,osm:way:694479601,Nhà thờ Tin lành Tân An,place_of_worship,overture:e12d6734-0917-4452-8f09-b6a0fa1ae93b,Nha Tho Tin Lanh Tan An Da Nang,place_of_worship,24.92,,,,
DUPLICATE:overture:00e0454d-b668-4865-b896-cf9b828b6a9c:overture:84a0612a-209c-4b1b-883e-517be8e31b8a,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84911051444""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:00e0454d-b668-4865-b896-cf9b828b6a9c,Gà Nướng Cơm Lam,restaurant,overture:84a0612a-209c-4b1b-883e-517be8e31b8a,Buffet Opera,casual,31.84,,,,
DUPLICATE:overture:05bbfc6d-3146-48f9-8e25-739f482243a6:overture:35e419ae-8bc5-4e31-9ae5-00cd29fc4673,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84888888416""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:05bbfc6d-3146-48f9-8e25-739f482243a6,Quần Tây Âu Kaki short Trần áo Sơ Mi trắng Nam thuê áo đi biển team building,clothing,overture:35e419ae-8bc5-4e31-9ae5-00cd29fc4673,Vest Nam Han Quoc,mens,13.29,,,,
DUPLICATE:overture:0b484a1d-2c8b-4773-978d-cb0b5a5a3c65:overture:d5615d4b-1477-4117-a2bf-9715e51d8ce5,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84708084444""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:0b484a1d-2c8b-4773-978d-cb0b5a5a3c65,Bàn Ghế Gaming Đà Nẵng,industrial,overture:d5615d4b-1477-4117-a2bf-9715e51d8ce5,Sky Computer - Build Pc Hi-end - Gaming Gear - Laptop Giá Rẻ,computer,5.66,,,,
DUPLICATE:overture:15557e0f-2e87-42b5-a494-0173090c34ab:overture:e2702b75-fa9f-4a79-bc1f-feefa646d219,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84943747123""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:15557e0f-2e87-42b5-a494-0173090c34ab,Nội thất-phụ kiện ôtô giá rẽ Đà Nẵng,automotive,overture:e2702b75-fa9f-4a79-bc1f-feefa646d219,268 AUTO-Trung Tâm Chăm Sóc Xe Chuyên Nghiệp Đà Nẵng,automotive,47.6,,,,
DUPLICATE:overture:196c2fbc-8843-4711-8a6a-48126406d8a9:overture:bb7299d7-123c-45cc-b11d-0e6b17da45b7,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84909119119""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:196c2fbc-8843-4711-8a6a-48126406d8a9,Cứu hộ Giao thông,ambulance,overture:bb7299d7-123c-45cc-b11d-0e6b17da45b7,Công Ty Liên Hợp Vận Tải và Du Lịch Vitraco,tours,2.46,,,,
DUPLICATE:overture:1af92a20-3a35-4053-8fe0-df40b453ffd7:overture:55e59fd0-cda2-4c9c-a319-18ea79256756,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+842363556999""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:1af92a20-3a35-4053-8fe0-df40b453ffd7,KOI Resort & Residence Da Nang,resort,overture:55e59fd0-cda2-4c9c-a319-18ea79256756,Manta Club Da Nang,bar,0,,,,
DUPLICATE:overture:1b6cb0d9-4b62-4ddc-8d22-4c7b8ff8bf74:overture:50dcf16d-3636-496f-a7a6-fb112bd3935e,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84901455553""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:1b6cb0d9-4b62-4ddc-8d22-4c7b8ff8bf74,"Cho Thuê Khách Sạn, Homestay, Nhà và Đất tại Đà Nẵng - Hội An.",real,overture:50dcf16d-3636-496f-a7a6-fb112bd3935e,Bia Rượu Nhập Khẩu Đà Nẵng,liquor,0,,,,
DUPLICATE:overture:1b72d100-f600-4b69-88cc-db7d1e820bd7:overture:42f298b2-3143-465b-a4b7-f3dbaaa7b6ad,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84777488798""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:1b72d100-f600-4b69-88cc-db7d1e820bd7,Kệ Để Bình Nước,event,overture:42f298b2-3143-465b-a4b7-f3dbaaa7b6ad,Máy Hút Bụi Công Nghiệp Đà Nẵng,home,0,,,,
DUPLICATE:overture:1dce6a32-f23c-4d83-aba2-d8ac5c2d0b3f:overture:8439766c-3525-49fe-abb4-cdcd5962d471,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+842363843943""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:1dce6a32-f23c-4d83-aba2-d8ac5c2d0b3f,Mai Anh Home,home,overture:8439766c-3525-49fe-abb4-cdcd5962d471,NAM ANH,retail,70.19,,,,
DUPLICATE:overture:1fa25d39-ea2a-444b-8293-bc6aa050cfee:overture:ef872df8-53b3-4cba-a28d-841989bc6c73,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84919601967""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:1fa25d39-ea2a-444b-8293-bc6aa050cfee,Họa Sĩ Nhí,tutoring,overture:ef872df8-53b3-4cba-a28d-841989bc6c73,Bia Của Tui,shoe,42.16,,,,
DUPLICATE:overture:2035d133-1372-48a3-af51-dcb42ec4a617:overture:7e298aaa-b282-4a6a-a8b9-6ce40fb95d53,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84905456778""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:2035d133-1372-48a3-af51-dcb42ec4a617,Bia Hơi 39,restaurant,overture:7e298aaa-b282-4a6a-a8b9-6ce40fb95d53,Ốc Chảo Đà Nẵng,restaurant,10.82,,,,
DUPLICATE:overture:21faf095-318c-4409-aa74-2cfa55bab6ef:overture:557e3bd7-769c-46f5-ad36-3641c854e928,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84908333468""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:21faf095-318c-4409-aa74-2cfa55bab6ef,Diệt Mối Tận Gốc,pest,overture:557e3bd7-769c-46f5-ad36-3641c854e928,Lắp đặt và sữa chữa Camera tại Đà Nẵng,information,92.55,,,,
DUPLICATE:overture:2324dd3c-e866-4a8f-8d67-9a3c3b69dfa2:overture:9ecacbd5-7618-4d05-8e40-eca98a21e12d,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84795550225""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:2324dd3c-e866-4a8f-8d67-9a3c3b69dfa2,Công ty TNHH TRANG WOW travel,tours,overture:9ecacbd5-7618-4d05-8e40-eca98a21e12d,"Trang booking hotel, Villa Đà Nẵng, Hội An, Huế",accommodation,5.94,,,,
DUPLICATE:overture:24e0f540-f4f7-4e3a-b80f-d8e9df61e309:overture:dc4e0bf3-d218-4a2d-928f-ec7b573e3cad,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84905730599""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:24e0f540-f4f7-4e3a-b80f-d8e9df61e309,Thảo dược thế giới Đà Nẵng,shopping,overture:dc4e0bf3-d218-4a2d-928f-ec7b573e3cad,Cây thuốc nam Đà Nẵng,health,20.5,,,,
