case_id,reviewer_decision,approved_operation,reviewer_note
MATCH:osm:osm:node:12350543701,DEFER,,
MATCH:osm:osm:node:13563775401,DEFER,,
MATCH:osm:osm:node:6570781698,DEFER,,
MATCH:osm:osm:way:1463170014,DEFER,,
MATCH:overture:overture:008c2a2d-5f73-4d99-b995-ae843c6ae41a,DEFER,,
MATCH:overture:overture:08955212-c94e-4d50-89ad-ab73a0defb0e,DEFER,,
MATCH:overture:overture:0b5d5134-5b87-4109-a53e-5887be0ceaea,DEFER,,
MATCH:overture:overture:0d60418c-cdb7-44f5-8afd-ab55c89deab9,DEFER,,
MATCH:overture:overture:0e3390cd-10e4-4361-a178-657f56f117cf,DEFER,,
MATCH:overture:overture:110a15fb-8fa6-4047-94e0-2030420fb526,DEFER,,
MATCH:overture:overture:188e1a0f-b2a4-4fa7-8f86-08e5988c0451,DEFER,,
MATCH:overture:overture:19f0bbd2-2f66-4a58-bafd-963ec3fc2c9b,DEFER,,
MATCH:overture:overture:1ce1093f-0168-4f56-a60b-8c8047cae1c6,DEFER,,
MATCH:overture:overture:1e1966bb-c0c8-40df-8e5d-db423558f2b2,DEFER,,
MATCH:overture:overture:1f62adf2-9f2c-4e84-95fc-18eef76781e7,DEFER,,
MATCH:overture:overture:29e4c47b-fb88-4aeb-b57a-cdd328a3c566,DEFER,,
MATCH:overture:overture:3a91290b-4c8f-473a-a817-597248389791,DEFER,,
MATCH:overture:overture:3bb65a05-dc86-4f35-9d74-f1e734037d86,DEFER,,
MATCH:overture:overture:3bbe6090-ec19-43a8-b922-dd192e62b47c,DEFER,,
MATCH:overture:overture:41b104e5-8e0d-4525-83ec-778f3490aa69,DEFER,,
MATCH:overture:overture:4b42243a-e10d-4898-8bd1-74b355694a2b,DEFER,,
MATCH:overture:overture:4c64f8eb-66d1-4301-9acc-4137f0f8693d,DEFER,,
MATCH:overture:overture:52b9bf26-57ae-44f5-99cb-8fc087647c91,DEFER,,
MATCH:overture:overture:5cca3fec-c3dd-47fd-b7d2-b3a15a909623,DEFER,,
MATCH:overture:overture:60fd4dbe-54ee-480f-a2cd-3c91ebede166,DEFER,,
MATCH:overture:overture:62d9fa47-6d23-4f62-bc46-31a8ec55c645,DEFER,,
MATCH:overture:overture:66c671fa-ca5b-402b-89ff-0095e50ab916,DEFER,,
MATCH:overture:overture:6847549e-31c8-4828-89b8-0826cef1786e,DEFER,,
MATCH:overture:overture:6a921f19-8a50-4cc2-ae71-75107588828a,DEFER,,
MATCH:overture:overture:7219119b-0478-43a5-ab4d-2b451cf99f34,DEFER,,
MATCH:overture:overture:7861351d-4f0f-491c-9b8a-9985dedbf02b,DEFER,,
MATCH:overture:overture:78f119f1-1ae5-4f54-bbf2-e191a268ba17,DEFER,,
MATCH:overture:overture:7d224842-8bbc-49b7-bcd2-895b44587775,DEFER,,
MATCH:overture:overture:84b736b1-3612-4adf-9942-2b60d55b9b2d,DEFER,,
MATCH:overture:overture:85ac7a27-2f81-4f62-9330-168e84aede22,DEFER,,
MATCH:overture:overture:87683a49-1a13-405d-b5eb-84dc82e67775,DEFER,,
MATCH:overture:overture:8d25a98d-17d9-48b2-91b6-2fee80d38203,DEFER,,
MATCH:overture:overture:90fa89d8-c389-489c-9ff6-91b8964b461c,DEFER,,
MATCH:overture:overture:91d99545-d195-4590-ba1a-b7b7808e6e8b,DEFER,,
MATCH:overture:overture:9c0ec2ea-fc55-4d8c-ac0d-f863a66cdf42,DEFER,,
MATCH:overture:overture:9f42591b-5c24-454a-84c4-554ce28b240b,DEFER,,
MATCH:overture:overture:a4a978ad-6080-4d48-baad-c7acf40df75b,DEFER,,
MATCH:overture:overture:a4ebc563-8eb9-48ca-b2bd-8b2508318c4e,DEFER,,
MATCH:overture:overture:a6a281f8-2c8c-486f-9e73-f82b80ce2461,DEFER,,
MATCH:overture:overture:a6f73975-9a92-4e06-9a5a-2de02bd1d78e,DEFER,,
MATCH:overture:overture:b4e86f4e-fd7b-47d0-b432-9b4458ec5d85,DEFER,,
